Participant,ColorPair,Topic1,Topic2,Critic1,Critic2,Vote1,Vote2,Score,LowScore
11,White-Red,E,J,Gold,Silver,8,9,195,False
16,White-Orange,E,B,Dark Blue,Brown,9,9,198,False
6,White-Purple,E,D,Silver,Yellow,8,10,196,False
28,White-Light Blue,E,I,Gold,Brown,8,9,195,False
23,White-Green,E,A,Yellow,Dark Blue,8,9,195,False
24,Red-Orange,J,B,Light Blue,Black,9,9,198,False
22,Orange-Purple,B,D,Green,Black,8,9,195,False
26,Purple-Light Blue,D,I,Red,Black,10,10,200,False
15,Light Blue-Green,I,A,Orange,Black,9,9,198,False
25,Green-Red,A,J,Purple,Black,9,9,198,False
3,Red-Brown,J,K,Light Blue,Gold,9,8,195,False
2,Red-Yellow,J,C,Purple,Silver,10,8,196,False
8,Orange-Yellow,B,C,Green,Dark Blue,9,7,190,False
30,Orange-Gold,B,G,Brown,Light Blue,9,10,199,False
29,Purple-Gold,D,G,Red,Silver,8,9,195,False
1,Purple-Dark Blue,D,H,Green,Yellow,9,9,198,False
17,Light Blue-Dark Blue,I,H,Orange,Brown,7,9,190,False
18,Light Blue-Silver,I,F,Gold,Red,9,8,195,False
19,Green-Silver,A,F,Purple,Yellow,9,7,190,False
9,Green-Brown,A,K,Dark Blue,Orange,10,10,200,False
21,Brown-Yellow,K,C,White,Dark Blue,9,6,183,False
10,Yellow-Gold,C,G,White,Silver,9,9,198,False
7,Gold-Dark Blue,G,H,White,Brown,8,9,195,False
20,Dark Blue-Silver,H,F,White,Yellow,9,8,195,False
13,Silver-Brown,F,K,White,Gold,9,9,198,False
5,Brown-Black,K,L,Orange,Light Blue,8,9,195,False
12,Yellow-Black,C,L,Purple,Green,1,10,119,True
27,Gold-Black,G,L,Red,Light Blue,9,9,198,False
4,Dark Blue-Black,H,L,Green,Orange,10,9,199,False
14,Silver-Black,F,L,Purple,Red,9,10,199,False
